source,target ,weight,directed,FloorPlan,Staircase,BlockConn,Remarks,new,X,Y,status
(C2) Corridor 2,(C2) Classroom 4,1,FALSE,C2,-,-,,,,,Old
(C2) Corridor 2,(C2) Classroom 5,1,FALSE,C2,-,-,,,,,Old
(C2) Corridor 2,(C2) Classroom 8,1,FALSE,C2,-,-,,,,,Old
(C2) Corridor 2,(C2) Classroom 9,1,FALSE,C2,-,-,,,,,Old
(C2) Corridor 2,(C2) Core 2,1,FALSE,C2,-,-,,SSL,,,Old
(C2) Core 2,(C3) Core 2,1,FALSE,C2,C2-C3,-,,,,,Old
,,,,,,,,,,,Old
(C3) Core 1,(C4) Core 1,1,FALSE,C3,C3-C4,-,,,,,Old
(C3) Corridor 1,(C3) Core 1,1,FALSE,C3,-,-,,,,,Old
(C3) Staff Corridor,(C4) Staff Corridor,1,FALSE,C3,C3-C4,-,,,,,Old
(C3) Staff Corridor,(C3) Level 3 Staff Room 1,1,FALSE,C3,-,-,,,,,Old
(C3) Staff Corridor,(C3) Level 3 Staff Room 2,1,FALSE,C3,-,-,,,,,Old
(C3) Level 3 Staff Room 2,(C3) Pantry,1,FALSE,C3,-,-,,,,,Old
(C3) Ext Corridor,(C3) Staff Corridor,1,FALSE,C3,-,-,,,,,Old
(C3) Ext Corridor,(C3) Corridor 1,1,FALSE,C3,-,-,,,,,Old
(C3) Corridor 1,(C3) Toilet,1,FALSE,C3,-,-,,,,,Old
(C3) Corridor 1,(C3) Classroom 1,1,FALSE,C3,-,-,,,,,Old
(C3) Corridor 1,(C3) Classroom 2,1,FALSE,C3,-,-,,,,,Old
(C3) Corridor 1,(C3) Classroom 6,1,FALSE,C3,-,-,,,,,Old
(C3) Corridor 1,(C3) Classroom 7,1,FALSE,C3,-,-,,,,,Old
(C3) Corridor 1,(C3) Reading Area,1,FALSE,C3,-,-,,,,,Old
(C3) Reading Area,(C3) Open Reading Area 1,1,FALSE,C3,-,-,,,,,Old
(C3) Reading Area,(C3) Open Reading Area 2,1,FALSE,C3,-,-,,,,,Old
(C3) Reading Area,(C3) Corridor 2,1,FALSE,C3,-,-,,,,,Old
(C3) Corridor 2,(C3) Classroom 3,1,FALSE,C3,-,-,,,,,Old
(C3) Corridor 2,(C3) Classroom 4,1,FALSE,C3,-,-,,,,,Old
(C3) Corridor 2,(C3) Classroom 5,1,FALSE,C3,-,-,,,,,Old
(C3) Corridor 2,(C3) Classroom 8,1,FALSE,C3,-,-,,,,,Old
(C3) Corridor 2,(C3) Classroom 9,1,FALSE,C3,-,-,,,,,Old
(C3) Corridor 2,(C3) Core 2,1,FALSE,C3,-,-,,SSL,,,Old
(C3) Core 2,(C4) Core 2,1,FALSE,C3,C3-C4,-,,,,,Old
,,,,,,,,,,,Old
(C4) Core 1,(C5) Core 1,1,FALSE,C4,C4-C5,-,,,,,Old
(C4) Corridor 1,(C4) Core 1,1,FALSE,C4,-,-,,,,,Old
(C4) Corridor 1,(C4) Toilet,1,FALSE,C4,-,-,,,,,Old
(C4) Corridor 1,(C4) Classroom 1,1,FALSE,C4,-,-,,,,,Old
(C4) Corridor 1,(C4) Classroom 2,1,FALSE,C4,-,-,,,,,Old
(C4) Corridor 1,(C4) Classroom 6,1,FALSE,C4,-,-,,,,,Old
(C4) Corridor 1,(C4) Classroom 7,1,FALSE,C4,-,-,,,,,Old
(C4) Corridor 1,(C4) Reading Area,1,FALSE,C4,-,-,,,,,Old
(C4) Reading Area,(C4) Open Reading Area 1,1,FALSE,C4,-,-,,,,,Old
(C4) Reading Area,(C4) Open Reading Area 2,1,FALSE,C4,-,-,,,,,Old
(C4) Reading Area,(C4) Corridor 2,1,FALSE,C4,-,-,,,,,Old
(C4) Corridor 2,(C4) Classroom 3,1,FALSE,C4,-,-,,,,,Old
(C4) Corridor 2,(C4) Classroom 4,1,FALSE,C4,-,-,,,,,Old
(C4) Corridor 2,(C4) Classroom 5,1,FALSE,C4,-,-,,,,,Old
(C4) Corridor 2,(C4) Classroom 8,1,FALSE,C4,-,-,,,,,Old
(C4) Corridor 2,(C4) Classroom 9,1,FALSE,C4,-,-,,,,,Old
(C4) Corridor 2,(C4) Core 2,1,FALSE,C4,-,-,,SSL,,,Old
(C4) Core 2,(C5) Core 2,1,FALSE,C4,C4-C5,-,,,,,Old
,,,,,,,,,,,Old
(C5) Core 1,(C6) Core 1,1,FALSE,C5,C5-C6,-,,,,,Old
(C5) Corridor 1,(C5) Core 1,1,FALSE,C5,-,-,,,,,Old
(C5) Corridor 1,(C5) Toilet,1,FALSE,C5,-,-,,,,,Old
(C5) Corridor 1,(C5) Classroom 1,1,FALSE,C5,-,-,,,,,Old
(C5) Corridor 1,(C5) Classroom 2,1,FALSE,C5,-,-,,,,,Old
(C5) Corridor 1,(C5) Classroom 6,1,FALSE,C5,-,-,,,,,Old
(C5) Corridor 1,(C5) Classroom 7,1,FALSE,C5,-,-,,,,,Old
(C5) Corridor 1,(C5) Reading Area,1,FALSE,C5,-,-,,,,,Old
(C5) Reading Area,(C5) Open Reading Area 1,1,FALSE,C5,-,-,,,,,Old
(C5) Reading Area,(C5) Open Reading Area 2,1,FALSE,C5,-,-,,,,,Old
(C5) Reading Area,(C5) Corridor 2,1,FALSE,C5,-,-,,,,,Old
(C5) Corridor 2,(C5) Classroom 3,1,FALSE,C5,-,-,,,,,Old
(C5) Corridor 2,(C5) Classroom 4,1,FALSE,C5,-,-,,,,,Old
(C5) Corridor 2,(C5) Classroom 5,1,FALSE,C5,-,-,,,,,Old
(C5) Corridor 2,(C5) Classroom 8,1,FALSE,C5,-,-,,,,,Old
(C5) Corridor 2,(C5) Classroom 9,1,FALSE,C5,-,-,,,,,Old
(C5) Corridor 2,(C5) Core 2,1,FALSE,C5,-,-,,SSL,,,Old
(C5) Core 2,(C6) Core 2,1,FALSE,C5,C5-C6,-,,,,,Old
,,,,,,,,,,,Old
(C6) Corridor 1,(C6) Core 1,1,FALSE,C6,-,-,,,,,Old
(C6) Corridor 1,(C6) Toilet,1,FALSE,C6,-,-,,,,,Old
(C6) Corridor 1,(C6) Classroom 1,1,FALSE,C6,-,-,,,,,Old
(C6) Corridor 1,(C6) Classroom 2,1,FALSE,C6,-,-,,,,,Old
(C6) Corridor 1,(C6) Classroom 6,1,FALSE,C6,-,-,,,,,Old
(C6) Corridor 1,(C6) Classroom 7,1,FALSE,C6,-,-,,,,,Old
(C6) Corridor 1,(C6) Reading Area,1,FALSE,C6,-,-,,,,,Old
(C6) Reading Area,(C6) Open Reading Area 1,1,FALSE,C6,-,-,,,,,Old
(C6) Reading Area,(C6) Open Reading Area 2,1,FALSE,C6,-,-,,,,,Old
(C6) Reading Area,(C6) Corridor 2,1,FALSE,C6,-,-,,,,,Old
(C6) Corridor 2,(C6) Classroom 3,1,FALSE,C6,-,-,,,,,Old
(C6) Corridor 2,(C6) Classroom 4,1,FALSE,C6,-,-,,,,,Old
(C6) Corridor 2,(C6) Classroom 5,1,FALSE,C6,-,-,,,,,Old
(C6) Corridor 2,(C6) Classroom 8,1,FALSE,C6,-,-,,,,,Old
(C6) Corridor 2,(C6) Classroom 9,1,FALSE,C6,-,-,,,,,Old
(C6) Corridor 2,(C6) Core 2,1,FALSE,C6,-,-,,SSL,,,Old
,,,,,,,,,,,Old
(D1) Visitor Car Drop Off,(D1) Footpath,1,FALSE,D1.1,-,D1-C1,,,,,Old
(D1) Visitor Car Drop Off,(D1) Connecting Space,1,FALSE,D1.1,-,-,,,,,Old
(D1) Connecting Space,(D1) Canteen Space 2,1,FALSE,D1.1,-,-,,,,,Old
(D1) Connecting Space,(D1) Main Entrance Corridor,1,FALSE,D1.1,-,-,,,,,Old
(D1) Connecting Space,(C1) Open Corridor,1,FALSE,D1.1,-,-,,,,,Old
(D1) Footpath,(D1) Carpark Corridor,1,FALSE,D1.1,-,-,,,,,Old
(D1) Carpark Corridor,(D1) Junior Music Suite Corridor,1,FALSE,D1.1,-,-,,,,,Old
(D1) Carpark Corridor,(D1) Canteen Space 1,1,FALSE,D1.1,-,-,,,,,Old
(D1) Junior Music Suite Corridor,(D1) Drama Room,1,FALSE,D1.1,-,-,,,,,Old
(D1) Junior Music Suite Corridor,(D1) Store,1,FALSE,D1.1,-,-,,,,,Old
(D1) Junior Music Suite Corridor,(D1) Drama Room,1,FALSE,D1.1,-,-,,,,,Old
(D1) Junior Music Suite Corridor,(D1) Music Room 1,1,FALSE,D1.1,-,-,,,,,Old
(D1) Junior Music Suite Corridor,(D1) Music Room 2,1,FALSE,D1.1,-,-,,,,,Old
(D1) Junior Music Suite Corridor,(D1) Music Room 3,1,FALSE,D1.1,-,-,,,,,Old
